timestamp,video_emotion,voice_emotion,biometric_data,distress_level,llm_response,stt_text
2026-05-02T01:19:03.363709,Starting...,Starting...,Starting...,65,"I detect a strong sense of frustration and negativity in your current emotional state, as indicated by the combination of anger, disgust, and elevated heart rate. It appears you are experiencing significant emotional tension right now, and I want to acknowledge that.",
2026-05-02T01:19:06.363956,Neutral,Starting...,"HR: 82.6, SpO2: 98.7%",65,"I detect a strong sense of frustration and negativity in your current emotional state, as indicated by the combination of anger, disgust, and elevated heart rate. It appears you are experiencing significant emotional tension right now, and I want to acknowledge that.",
2026-05-02T01:19:09.364225,Angry,Starting...,"HR: 83.4, SpO2: 98.4%",65,"I detect a strong sense of frustration and negativity in your current emotional state, as indicated by the combination of anger, disgust, and elevated heart rate. It appears you are experiencing significant emotional tension right now, and I want to acknowledge that.",
2026-05-02T01:19:13.244498,Angry,Surprised,"HR: 82.2, SpO2: 98.5%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:16.244842,Angry,Surprised,"HR: 82.2, SpO2: 98.2%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:19.245285,Neutral,Surprised,"HR: 81.7, SpO2: 97.9%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:22.245782,Neutral,Surprised,"HR: 81.7, SpO2: 98.2%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:25.246253,Angry,Surprised,"HR: 83.2, SpO2: 97.6%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:28.246601,Angry,Surprised,"HR: 84.9, SpO2: 97.8%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:31.246950,Angry,Surprised,"HR: 85.5, SpO2: 97.5%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:34.247393,Fear,Surprised,"HR: 87.3, SpO2: 97.7%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:37.247863,Neutral,Surprised,"HR: 87.6, SpO2: 97.7%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:40.248261,Neutral,Surprised,"HR: 89.7, SpO2: 97.4%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:43.248777,Angry,Surprised,"HR: 90.7, SpO2: 97.7%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:46.249262,Angry,Surprised,"HR: 91.9, SpO2: 97.1%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:49.249733,Angry,Surprised,"HR: 92.5, SpO2: 97.2%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:52.250259,Angry,Surprised,"HR: 92.8, SpO2: 97.3%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:55.250734,Angry,Surprised,"HR: 91.0, SpO2: 97.6%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:19:58.251242,Neutral,Surprised,"HR: 91.2, SpO2: 97.5%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:20:01.251717,Neutral,Surprised,"HR: 91.4, SpO2: 97.1%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:20:04.252172,Neutral,Surprised,"HR: 90.7, SpO2: 96.9%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
2026-05-02T01:20:07.252538,Angry,Surprised,"HR: 90.8, SpO2: 96.8%",65,The discrepancy between your expressed surprise and underlying anger suggests a potential disconnect between your conscious and subconscious feelings; explore where this feeling of surprise is originating from in relation to the situation.,Can you see? Hi.
