timestamp,video_emotion,voice_emotion,distress_level,llm_response,stt_text
2026-05-02T02:52:59.162678,Angry,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:02.162961,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:05.163501,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:08.163793,Sad,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:11.164083,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:14.164373,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:17.164633,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:20.164945,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:23.165250,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:26.165575,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:29.166007,Neutral,Starting...,75,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:53:45.802301,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?","Hi, man. I'm not feeling sad actually. I like I'm in the grey area, you know. I have  spent years building a specific path but I'm here. I realize I might didn't like it at all.  I really don't know what to do."
2026-05-02T02:53:48.802650,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?","Hi, man. I'm not feeling sad actually. I like I'm in the grey area, you know. I have  spent years building a specific path but I'm here. I realize I might didn't like it at all.  I really don't know what to do."
2026-05-02T02:53:51.802996,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?","Hi, man. I'm not feeling sad actually. I like I'm in the grey area, you know. I have  spent years building a specific path but I'm here. I realize I might didn't like it at all.  I really don't know what to do."
2026-05-02T02:53:54.803450,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?","Hi, man. I'm not feeling sad actually. I like I'm in the grey area, you know. I have  spent years building a specific path but I'm here. I realize I might didn't like it at all.  I really don't know what to do."
2026-05-02T02:53:57.803889,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:00.804287,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:03.804771,Sad,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:06.805213,Sad,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:09.805705,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:12.806062,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:15.806419,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
2026-05-02T02:54:18.806824,Neutral,Disgust,45,"I hear you, and it sounds like you're feeling a lot of frustration right now. Is there something specific that's making you feel this way?",
